latitude,longitude,category
19.468165,-99.1585678,cafe
19.3143913,-99.1245799,restaurant
19.4415772,-99.2064361,mall
19.4178147,-99.1022564,cafe
19.4191662,-99.0883273,restaurant
19.419215,-99.0879996,restaurant
19.3221068,-99.2300716,restaurant
19.4208097,-99.089303,restaurant
19.4209955,-99.0904475,restaurant
19.3989127,-99.1283844,restaurant
19.3429599,-99.146552,mall
19.414264,-99.0833345,restaurant
19.4182138,-99.0855689,bar
19.359266,-99.274726,cafe
19.2767828,-99.1872467,restaurant
19.2973378,-99.1484779,restaurant
19.4715082,-99.1108501,cafe
19.4736922,-99.1113452,restaurant
19.4541899,-99.175274,cafe
19.2948914,-99.1320741,restaurant
19.2966268,-99.1541829,restaurant
19.2890675,-99.1665987,cafe
19.2937788,-99.1239236,restaurant
19.4049439,-99.196552,restaurant
19.4020822,-99.1364047,cafe
19.295003,-99.1318719,cafe
19.3838697,-99.1864586,cafe
19.3805591,-99.1858942,cafe
19.3863121,-99.1862224,restaurant
19.3799979,-99.1777707,restaurant
19.3803178,-99.1771188,bar
19.3801485,-99.1773475,restaurant
19.4021686,-99.0587388,mall
19.3630041,-99.1827312,restaurant
19.34764,-99.0770983,restaurant
19.3326452,-99.1527105,mall
19.4301474,-99.1964446,restaurant
19.4864097,-99.0941388,restaurant
19.4784799,-99.0952666,restaurant
19.3805648,-99.1213614,mall
19.2954626,-99.1612162,restaurant
19.2935778,-99.1612791,restaurant
19.293345,-99.1606958,cafe
19.29453,-99.1574042,restaurant
19.4303528,-99.1968726,mall
19.2940885,-99.1816597,restaurant
19.3581238,-99.2686319,cafe
19.2882677,-99.1665803,bar
19.2891111,-99.1667435,restaurant
19.3136655,-99.1850155,restaurant
19.4320985,-99.2147808,restaurant
19.4301367,-99.2131623,restaurant
19.4311936,-99.2114843,restaurant
19.4405135,-99.184567,mall
19.4058368,-99.110405,mall
19.5040518,-99.1479102,cafe
19.3746497,-99.1777277,restaurant
19.3741045,-99.1792576,restaurant
19.3759134,-99.1779222,restaurant
19.2837216,-99.21783,restaurant
19.402496,-99.1787734,restaurant
19.4016448,-99.1796049,cafe
19.3884806,-99.1911539,cafe
19.388923,-99.1916235,mall
19.2223454,-98.9954289,cafe
19.397432,-99.1408663,restaurant
19.3976318,-99.1408817,cafe
19.4023546,-99.1400911,restaurant
19.2034237,-99.0464207,cafe
19.4785041,-99.0954284,restaurant
19.4792223,-99.0971156,restaurant
19.4303872,-99.178968,restaurant
19.4545138,-99.1965897,restaurant
19.3539988,-99.1518291,cafe
19.4274708,-99.2053975,restaurant
19.2034977,-99.0470177,restaurant
19.2022099,-99.0485858,restaurant
